Jul-08, 7:25 PM,Item Name,Listed Amount,Base Price,Max Price,Min Price,Total Sold,Enhancement Level
 , ,Vell's Heart,6,9500000000,10200000000,8800000000,3643,0
 , ,Vell's Concentrated Magic,34,8600000000,9200000000,8000000000,5011,0
 , ,Memory Fragment,24404,1740000,1870000,1610000,115596167,0
 , ,Manshaum Voodoo Doll,283,640000,685000,630000,4455007,0
 , ,Ancient Relic Crystal Shard,22294,1260000,1350000,1170000,48625660,0
 , ,Caphras Stone,18657,2730000,2930000,2530000,64516268,0
 , ,Scroll Written in Ancient Language,4937,1880000,2020000,1740000,29329437,0
 , ,Black Stone (Armor),1600,207000,210000,192000,314845492,0
 , ,Concentrated Magical Black Stone (Armor),357,2200000,2250000,2040000,13108889,0
 , ,Black Stone (Weapon),3399,205000,220000,190000,199873542,0
 , ,Concentrated Magical Black Stone (Weapon),1128,2110000,2260000,1960000,9379940,0
 , ,Garmoth's Heart,6,5450000000,5850000000,5050000000,3273,0
 , ,Inverted Heart of Garmoth,6,6100000000,6550000000,5650000000,1974,0
 , ,Ogre Ring,0,11400000000,12200000000,10600000000,5674,4
 , ,Laytenn's Power Stone,0,11300000000,12100000000,10500000000,3180,4
 , ,Tungrad Necklace,4,13100000000,14000000000,12200000000,833,4
 , ,Tungrad Ring,12,13600000000,14600000000,12600000000,1471,4
 , ,Tungrad Belt,0,14700000000,15800000000,13600000000,770,4
 , ,Basilisk's Belt,4,6000000000,6450000000,5550000000,6559,4
 , ,Ring of Crescent Guardian,12,5550000000,5950000000,5150000000,12386,4
 , ,Black Distortion Earring,9,22600000000,24200000000,21000000000,1836,4
 , ,Dim Tree Spirit's Armor,4,24400000000,26200000000,22600000000,892,20
 , ,Red Nose's Armor,1,23800000000,25500000000,22100000000,149,20
 , ,Bheg's Gloves,3,21300000000,22800000000,19800000000,806,20
 , ,Giath's Helmet,4,18600000000,19900000000,17300000000,219,20
 , ,Urugon's Shoes,1,23000000000,24700000000,21300000000,589,20
 , ,Kutum Talisman,0,20500000000,22000000000,19000000000,75,20
 , ,Dandelion Scythe,1,20800000000,22300000000,19300000000,186,20
 , ,Dandelion Crimson Glaives,2,20800000000,22300000000,19300000000,170,20
 , ,Kutum Noble Sword,1,20500000000,22000000000,19000000000,81,20
Jul-08, 8:19 PM,Item Name,Listed Amount,Base Price,Max Price,Min Price,Total Sold,Enhancement Level
 , ,Vell's Heart,8,9500000000,10200000000,8800000000,3644,0
 , ,Vell's Concentrated Magic,38,8600000000,9200000000,8000000000,5015,0
 , ,Memory Fragment,22149,1740000,1870000,1610000,115610912,0
 , ,Manshaum Voodoo Doll,940,640000,685000,630000,4456044,0
 , ,Ancient Relic Crystal Shard,22749,1260000,1350000,1170000,48628313,0
 , ,Caphras Stone,19926,2730000,2930000,2530000,64531901,0
 , ,Scroll Written in Ancient Language,6105,1880000,2020000,1740000,29331303,0
 , ,Black Stone (Armor),0,207000,210000,192000,314876344,0
 , ,Concentrated Magical Black Stone (Armor),221,2200000,2250000,2040000,13110490,0
 , ,Black Stone (Weapon),8075,205000,220000,190000,199888816,0
 , ,Concentrated Magical Black Stone (Weapon),979,2110000,2260000,1960000,9380925,0
 , ,Garmoth's Heart,8,5450000000,5850000000,5050000000,3273,0
 , ,Inverted Heart of Garmoth,7,6100000000,6550000000,5650000000,1974,0
 , ,Ogre Ring,1,11400000000,12200000000,10600000000,5675,4
 , ,Laytenn's Power Stone,0,11300000000,12100000000,10500000000,3180,4
 , ,Tungrad Necklace,4,13100000000,14000000000,12200000000,833,4
 , ,Tungrad Ring,11,13600000000,14600000000,12600000000,1472,4
 , ,Tungrad Belt,0,14700000000,15800000000,13600000000,770,4
 , ,Basilisk's Belt,3,6000000000,6450000000,5550000000,6559,4
 , ,Ring of Crescent Guardian,16,5550000000,5950000000,5150000000,12390,4
 , ,Black Distortion Earring,10,22600000000,24200000000,21000000000,1836,4
 , ,Dim Tree Spirit's Armor,4,24400000000,26200000000,22600000000,893,20
 , ,Red Nose's Armor,1,23800000000,25500000000,22100000000,149,20
 , ,Bheg's Gloves,3,21300000000,22800000000,19800000000,806,20
