id,name,grade,enhancement,maximum,minimum,price,count,totalTradeCount
719902,Blackstar Armor,1,0,437000000,377000000,407000000,0,16
719902,Blackstar Armor,1,6,440000000,380000000,410000000,0,2
719902,Blackstar Armor,1,10,750000000,650000000,700000000,0,12
719902,Blackstar Armor,1,13,960000000,830000000,895000000,0,2
719902,Blackstar Armor,1,14,1010000000,870000000,940000000,0,0
719902,Blackstar Armor,1,15,2040000000,1870000000,2020000000,0,15
719902,Blackstar Armor,1,16,2320000000,2060000000,2220000000,1,91
719902,Blackstar Armor,1,17,2780000000,2400000000,2590000000,6,56
719902,Blackstar Armor,1,18,3140000000,2720000000,2930000000,2,415
719902,Blackstar Armor,1,19,19700000000,17100000000,18400000000,6,39
719902,Blackstar Armor,1,20,42300000000,36500000000,39400000000,0,1
10005,Azwell Longsword,1,0,19100,17500,17800,4,200278
10005,Azwell Longsword,1,8,3180000,2740000,2960000,0,23684
10005,Azwell Longsword,1,11,7200000,6200000,6700000,0,370
10005,Azwell Longsword,1,13,10900000,9450000,10200000,0,1727
10005,Azwell Longsword,1,16,30600000,26400000,28500000,0,322
10005,Azwell Longsword,1,17,37000000,32000000,34500000,0,179
10005,Azwell Longsword,1,18,88500000,76500000,82500000,0,12
10005,Azwell Longsword,1,19,344000000,296000000,320000000,0,3
10005,Azwell Longsword,1,20,740000000,640000000,690000000,0,0
10006,Ain Longsword,1,0,405000,375000,405000,0,89852
10006,Ain Longsword,1,8,2610000,2250000,2430000,0,55
10006,Ain Longsword,1,11,6050000,5250000,5650000,0,12
10006,Ain Longsword,1,13,12000000,10400000,11200000,0,47
10006,Ain Longsword,1,16,38900000,33500000,36200000,0,0
10006,Ain Longsword,1,17,65000000,56000000,60500000,0,27
10006,Ain Longsword,1,18,138000000,120000000,129000000,0,1
10006,Ain Longsword,1,19,344000000,296000000,320000000,0,0
10006,Ain Longsword,1,20,740000000,640000000,690000000,0,0
10007,Seleth Longsword,1,0,231000,214000,231000,0,296355
10007,Seleth Longsword,1,8,1670000,1450000,1560000,0,378
10007,Seleth Longsword,1,11,2590000,2230000,2410000,0,160
10007,Seleth Longsword,1,13,5150000,4460000,4820000,0,722
10007,Seleth Longsword,1,16,35100000,30300000,32700000,0,91
10007,Seleth Longsword,1,17,45400000,39200000,42300000,0,30
10007,Seleth Longsword,1,18,118000000,102000000,110000000,0,20
10007,Seleth Longsword,1,19,344000000,296000000,320000000,0,8
10007,Seleth Longsword,1,20,725000000,625000000,675000000,0,0
10009,Liverto Longsword,2,0,3440000,2960000,3200000,2,64563
10009,Liverto Longsword,2,8,8250000,7150000,7700000,0,2107
10009,Liverto Longsword,2,11,8250000,7150000,7700000,0,1070
10009,Liverto Longsword,2,13,8250000,7150000,7700000,0,474
10009,Liverto Longsword,2,14,8450000,7350000,7900000,0,378
10009,Liverto Longsword,2,15,13600000,11800000,12700000,0,11185
10009,Liverto Longsword,2,16,42200000,36400000,39300000,0,4544
10009,Liverto Longsword,2,17,58000000,50000000,54000000,0,7305
10009,Liverto Longsword,2,18,144000000,124000000,134000000,0,7309
10009,Liverto Longsword,2,19,496000000,428000000,462000000,0,423
10009,Liverto Longsword,2,20,4250000000,3670000000,3960000000,0,7
10010,Kzarka Longsword,3,0,104000000,90500000,97500000,3,13974
10010,Kzarka Longsword,3,8,125000000,109000000,117000000,0,1112
10010,Kzarka Longsword,3,11,167000000,145000000,156000000,0,891
10010,Kzarka Longsword,3,13,181000000,157000000,169000000,0,508
10010,Kzarka Longsword,3,14,254000000,220000000,237000000,0,352
10010,Kzarka Longsword,3,15,331000000,285000000,308000000,0,192
10010,Kzarka Longsword,3,16,398000000,344000000,371000000,0,2372
10010,Kzarka Longsword,3,17,469000000,405000000,437000000,0,2657
10010,Kzarka Longsword,3,18,515000000,447000000,483000000,0,8131
10010,Kzarka Longsword,3,19,1560000000,1360000000,1460000000,0,4498
10010,Kzarka Longsword,3,20,18200000000,15800000000,17000000000,0,154
10012,Kalis Longsword,1,0,260000,241000,260000,26,592762
10012,Kalis Longsword,1,8,1390000,1210000,1300000,1,4000
10012,Kalis Longsword,1,11,2550000,2210000,2380000,1,1758
10012,Kalis Longsword,1,13,4790000,4130000,4460000,0,4488
10012,Kalis Longsword,1,16,27900000,24100000,26000000,0,376
10012,Kalis Longsword,1,17,53000000,45800000,49500000,0,235
10012,Kalis Longsword,1,18,96000000,83000000,89500000,0,68
10012,Kalis Longsword,1,19,331000000,285000000,308000000,0,5
10012,Kalis Longsword,1,20,740000000,640000000,690000000,0,0
10013,Bares Longsword,1,0,78000,68000,73000,4,745415
10013,Bares Longsword,1,8,1230000,1070000,1150000,0,12669
10013,Bares Longsword,1,11,1980000,1720000,1850000,0,2523
10013,Bares Longsword,1,13,4770000,4110000,4440000,0,7052
10013,Bares Longsword,1,16,32000000,27600000,29800000,0,920
10013,Bares Longsword,1,17,55500000,48100000,52000000,0,624
10013,Bares Longsword,1,18,102000000,88500000,95500000,0,225
10013,Bares Longsword,1,19,365000000,315000000,340000000,0,14
10013,Bares Longsword,1,20,740000000,640000000,690000000,0,0
10014,Yuria Longsword,1,0,88000,76000,82000,2,1224081
10014,Yuria Longsword,1,8,1560000,1360000,1460000,47,9918
10014,Yuria Longsword,1,11,2240000,1940000,2090000,0,4459
10014,Yuria Longsword,1,13,3980000,3440000,3710000,0,17162
